ID,Name,Surname,PhoneNumber
1,Lev,Gogol,79690388196
2,Mihail,Chehov,79147126473
3,Anton,Dostoevskiy,79987475829
4,Miron,Gogol,79590613142
5,Lev,Kuprin,79592291439
6,Miron,Pushkin,79956789245
7,Nikolay,Bunin,79568504531
8,Fedor,Duma,79921073407
9,Miron,Tolstoy,79616631563
10,Ivan,Duma,79717565072
11,Lev,Duma,79077256992
12,Lev,Kuprin,79285569624
13,Alexandr,Kuprin,79614220060
14,Mihail,Dostoevskiy,79220149763
15,Lev,Pushkin,79728424573
16,Fedor,Gogol,79799925465
17,Alexandr,Pushkin,79902484891
18,Fedor,Kuprin,79939181412
19,Nikolay,Chehov,79922117304
20,Nikolay,Pushkin,79620217244
